法規名稱,維護單位,法規分類,最後修訂(民國),最後修訂(西元),存放路徑,原始檔名,來源網址,別名,狀態
輔英科技大學教師教學產出成果競賽獎勵要點,教務處,教務法規(#B),115.6.11,2026-06-11,01_行政單位/03_教務處/輔英科技大學教師教學產出成果競賽獎勵要點_law02120.pdf,law02120.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02120.pdf,,已存在
輔英科技大學教學觀議課實施要點,教務處,教務法規(#B),111.9.29,2022-09-29,01_行政單位/03_教務處/輔英科技大學教學觀議課實施要點_law02121.pdf,law02121.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02121.pdf,,已存在
輔英科技大學數位學習平台管理要點,教務處,教務法規(#B),115.4.2,2026-04-02,01_行政單位/03_教務處/輔英科技大學數位學習平台管理要點_law02131.pdf,law02131.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02131.pdf,,已存在
輔英科技大學教師輔導學生學習成效獎勵實施要點,教務處,教務法規(#B),115.6.3,2026-06-03,01_行政單位/03_教務處/輔英科技大學教師輔導學生學習成效獎勵實施要點_Law02132.pdf,Law02132.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/Law02132.pdf,,已存在
輔英科技大學學生校外實習委員會設置辦法,教務處,教務法規(#B),114.6.18,2025-06-18,01_行政單位/03_教務處/輔英科技大學學生校外實習委員會設置辦法_law02003.pdf,law02003.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02003.pdf,,已存在
輔英科技大學學生校外實習要點,教務處,教務法規(#B),115.6.24,2026-06-24,01_行政單位/03_教務處/輔英科技大學學生校外實習要點_law02004.pdf,law02004.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02004.pdf,,已存在
輔英科技大學學生海外實務學習要點,教務處,教務法規(#B),113.3.14,2024-03-14,01_行政單位/03_教務處/輔英科技大學學生海外實務學習要點_law02084.pdf,law02084.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02084.pdf,,已存在
輔英科技大學海外實務學習課程補助實施要點,教務處,教務法規(#B),115.6.3,2026-06-03,01_行政單位/03_教務處/輔英科技大學海外實務學習課程補助實施要點_law02087.pdf,law02087.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02087.pdf,,已存在
輔英科技大學學生證照獎勵實施要點,教務處,教務法規(#B),115.2.25,2026-02-25,01_行政單位/03_教務處/輔英科技大學學生證照獎勵實施要點_law02023.pdf,law02023.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02023.pdf,,已存在
輔英科技大學激勵學習安心就學作業要點,教務處,教務法規(#B),114.12.31,2025-12-31,01_行政單位/03_教務處/輔英科技大學激勵學習安心就學作業要點_law02100.pdf,law02100.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02100.pdf,,已存在
輔英科技大學學生共學團體實施要點,教務處,教務法規(#B),112.2.8,2023-02-08,01_行政單位/03_教務處/輔英科技大學學生共學團體實施要點_law02105.pdf,law02105.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law02105.pdf,,已存在
